Team,G,MP,FG.,Dist.,X..of.2P,X..of.0.3,X..of.3.10,X..of.10.16,X..of.16.3P,X..of.3P,X2P..,X0.3..,X3.10..,X10.16..,X16.3P..,X3P..,X2P..Ast.d,Dunk..FGA,Dunk.Md.,X3P..Ast.d,Corner..3PA,X3P.,Heaves.Att.,Heaves.Md.,year
Boston Celtics,82,19780,0.483,11.9,0.772,0.339,0.139,0.107,0.188,0.228,0.523,0.65,0.419,0.423,0.425,0.348,0.585,0.036,206,0.89,0.214,0.339,11,0,2010
Charlotte Bobcats,82,19880,0.453,11,0.789,0.408,0.098,0.08,0.203,0.211,0.482,0.58,0.398,0.365,0.372,0.346,0.526,0.056,302,0.861,0.286,0.378,19,1,2010
Chicago Bulls,82,19905,0.451,11.9,0.844,0.331,0.105,0.108,0.3,0.156,0.474,0.575,0.432,0.418,0.398,0.33,0.51,0.049,302,0.884,0.308,0.393,9,0,2010
Cleveland Cavaliers,82,19780,0.485,12.5,0.752,0.339,0.119,0.08,0.214,0.248,0.52,0.667,0.443,0.369,0.387,0.381,0.551,0.073,427,0.762,0.329,0.412,12,1,2010
Dallas Mavericks,82,19880,0.464,12.7,0.778,0.282,0.127,0.142,0.229,0.222,0.491,0.6,0.422,0.41,0.444,0.372,0.556,0.038,235,0.864,0.221,0.399,13,0,2010
Denver Nuggets,82,19780,0.468,12,0.773,0.351,0.11,0.094,0.218,0.227,0.5,0.623,0.388,0.4,0.401,0.359,0.503,0.066,407,0.772,0.214,0.4,16,0,2010
Detroit Pistons,82,19780,0.445,11.8,0.82,0.319,0.125,0.145,0.23,0.18,0.474,0.588,0.395,0.414,0.396,0.314,0.49,0.045,264,0.89,0.322,0.334,14,0,2010
Golden State Warriors,82,19730,0.469,13.3,0.762,0.298,0.113,0.095,0.256,0.238,0.499,0.651,0.367,0.393,0.419,0.375,0.481,0.039,262,0.858,0.253,0.433,20,0,2010
Houston Rockets,82,19905,0.447,12,0.735,0.346,0.134,0.089,0.165,0.265,0.481,0.572,0.427,0.382,0.388,0.351,0.507,0.031,196,0.85,0.24,0.395,15,0,2010
Indiana Pacers,82,19705,0.443,13.4,0.722,0.28,0.135,0.098,0.209,0.278,0.479,0.599,0.425,0.403,0.39,0.348,0.474,0.034,216,0.926,0.189,0.362,11,0,2010
Los Angeles Clippers,82,19705,0.455,12,0.779,0.341,0.113,0.117,0.208,0.221,0.49,0.602,0.458,0.362,0.394,0.332,0.563,0.046,281,0.814,0.225,0.366,19,0,2010
Los Angeles Lakers,82,19830,0.457,12.1,0.773,0.311,0.15,0.121,0.191,0.227,0.492,0.597,0.436,0.426,0.406,0.341,0.497,0.054,344,0.812,0.231,0.382,18,1,2010
Memphis Grizzlies,82,19905,0.469,10.5,0.852,0.37,0.168,0.11,0.203,0.148,0.492,0.605,0.432,0.383,0.395,0.337,0.433,0.048,301,0.86,0.223,0.419,25,2,2010
Miami Heat,82,19880,0.458,13,0.781,0.272,0.114,0.14,0.256,0.219,0.489,0.641,0.445,0.393,0.399,0.346,0.461,0.061,363,0.81,0.266,0.389,12,0,2010
Milwaukee Bucks,82,19980,0.436,13,0.741,0.288,0.13,0.114,0.209,0.259,0.464,0.56,0.411,0.375,0.413,0.356,0.495,0.029,184,0.851,0.285,0.398,9,1,2010
Minnesota Timberwolves,82,19780,0.449,11.5,0.829,0.308,0.166,0.146,0.21,0.171,0.471,0.606,0.412,0.39,0.374,0.341,0.475,0.037,234,0.846,0.224,0.358,21,2,2010
New Jersey Nets,82,19780,0.429,11.4,0.819,0.346,0.126,0.119,0.229,0.181,0.454,0.568,0.379,0.365,0.368,0.318,0.496,0.054,316,0.881,0.318,0.361,14,3,2010
New Orleans Hornets,82,19830,0.464,12.3,0.77,0.318,0.121,0.127,0.204,0.23,0.495,0.606,0.432,0.4,0.418,0.363,0.52,0.031,188,0.828,0.203,0.423,10,0,2010
New York Knicks,82,19880,0.455,13.4,0.688,0.327,0.087,0.071,0.203,0.312,0.504,0.614,0.399,0.414,0.403,0.346,0.479,0.036,233,0.849,0.204,0.377,13,1,2010
Oklahoma City Thunder,82,19805,0.462,11.5,0.815,0.332,0.125,0.135,0.223,0.185,0.49,0.612,0.43,0.406,0.393,0.34,0.48,0.064,389,0.883,0.232,0.333,7,0,2010
Orlando Magic,82,19730,0.47,13.7,0.65,0.301,0.123,0.082,0.144,0.35,0.521,0.63,0.468,0.408,0.405,0.375,0.421,0.057,345,0.837,0.282,0.421,23,0,2010
Philadelphia 76ers,82,19805,0.46,12.1,0.794,0.311,0.127,0.146,0.209,0.206,0.491,0.615,0.427,0.387,0.416,0.343,0.502,0.061,392,0.865,0.251,0.399,22,1,2010
Phoenix Suns,82,19730,0.492,12.5,0.739,0.312,0.135,0.106,0.185,0.261,0.52,0.637,0.462,0.44,0.409,0.412,0.509,0.064,380,0.801,0.258,0.443,13,1,2010
Portland Trail Blazers,82,19855,0.461,12.9,0.785,0.286,0.111,0.133,0.255,0.215,0.49,0.625,0.425,0.408,0.41,0.354,0.494,0.044,263,0.91,0.342,0.389,27,0,2010
Sacramento Kings,82,19880,0.456,11.6,0.799,0.327,0.159,0.094,0.22,0.201,0.483,0.61,0.385,0.427,0.388,0.349,0.471,0.037,231,0.882,0.251,0.418,17,0,2010
San Antonio Spurs,82,19780,0.473,12.2,0.768,0.312,0.146,0.108,0.203,0.232,0.508,0.649,0.431,0.388,0.408,0.358,0.514,0.032,198,0.892,0.37,0.385,11,0,2010
Toronto Raptors,82,19780,0.482,12.6,0.789,0.308,0.133,0.111,0.238,0.211,0.512,0.64,0.453,0.429,0.419,0.371,0.51,0.052,307,0.842,0.215,0.443,36,2,2010
Utah Jazz,82,19755,0.491,10.9,0.816,0.383,0.121,0.092,0.22,0.184,0.519,0.637,0.422,0.409,0.415,0.364,0.652,0.064,375,0.841,0.205,0.453,9,0,2010
Washington Wizards,82,19830,0.449,12.6,0.817,0.279,0.148,0.116,0.274,0.183,0.471,0.619,0.359,0.403,0.408,0.353,0.474,0.043,277,0.775,0.233,0.382,14,0,2010
All Teams,82,19820,0.461,12.2,0.778,0.32,0.129,0.11,0.218,0.222,0.492,0.613,0.421,0.4,0.402,0.355,0.505,0.048,293,0.847,0.258,0.392,15.9,0.6,2010
Atlanta Hawks,82,19730,0.462,13.5,0.778,0.233,0.175,0.097,0.274,0.222,0.494,0.649,0.434,0.39,0.436,0.352,0.55,0.045,263,0.882,0.349,0.38,13,1,2011
Boston Celtics,82,19780,0.486,12.1,0.82,0.313,0.14,0.113,0.254,0.18,0.513,0.674,0.376,0.445,0.42,0.365,0.597,0.043,256,0.882,0.26,0.467,8,0,2011
Charlotte Bobcats,82,19805,0.451,12,0.811,0.334,0.145,0.097,0.235,0.189,0.48,0.61,0.354,0.395,0.41,0.327,0.56,0.045,242,0.86,0.187,0.373,18,0,2011
Chicago Bulls,82,19830,0.462,12.5,0.785,0.304,0.151,0.102,0.229,0.215,0.489,0.638,0.389,0.404,0.397,0.361,0.548,0.052,314,0.863,0.275,0.373,17,0,2011
Cleveland Cavaliers,82,19755,0.434,12.3,0.776,0.296,0.179,0.097,0.203,0.224,0.461,0.61,0.355,0.333,0.398,0.342,0.542,0.051,312,0.847,0.234,0.37,7,0,2011
Dallas Mavericks,82,19705,0.475,13.6,0.726,0.24,0.162,0.125,0.199,0.274,0.516,0.684,0.407,0.423,0.461,0.365,0.565,0.053,321,0.905,0.293,0.392,18,1,2011
Denver Nuggets,82,19705,0.476,12.3,0.742,0.349,0.133,0.074,0.186,0.258,0.506,0.633,0.371,0.378,0.414,0.388,0.497,0.059,355,0.875,0.286,0.4,17,1,2011
Detroit Pistons,82,19880,0.46,12,0.811,0.307,0.15,0.132,0.222,0.189,0.479,0.634,0.376,0.376,0.396,0.376,0.507,0.043,246,0.892,0.365,0.397,18,1,2011
Golden State Warriors,82,19830,0.461,13,0.752,0.276,0.169,0.093,0.214,0.248,0.484,0.656,0.37,0.349,0.412,0.392,0.489,0.048,317,0.866,0.295,0.432,19,1,2011
Houston Rockets,82,19880,0.454,12.9,0.736,0.263,0.203,0.092,0.177,0.264,0.486,0.644,0.394,0.405,0.398,0.367,0.553,0.026,165,0.851,0.227,0.4,15,0,2011
Indiana Pacers,82,19780,0.442,13.2,0.756,0.245,0.182,0.116,0.213,0.244,0.471,0.627,0.402,0.397,0.391,0.354,0.45,0.047,288,0.892,0.203,0.394,11,0,2011
Los Angeles Clippers,82,19855,0.457,12.1,0.77,0.307,0.199,0.081,0.183,0.23,0.493,0.664,0.393,0.369,0.368,0.338,0.548,0.085,502,0.864,0.254,0.319,18,0,2011
Los Angeles Lakers,82,19830,0.463,12.7,0.78,0.256,0.206,0.118,0.199,0.22,0.494,0.666,0.428,0.441,0.373,0.352,0.527,0.046,287,0.819,0.286,0.411,22,1,2011
Memphis Grizzlies,82,19880,0.471,10.8,0.864,0.309,0.244,0.107,0.204,0.136,0.492,0.66,0.407,0.398,0.388,0.334,0.488,0.042,265,0.906,0.267,0.389,25,0,2011
Miami Heat,82,19780,0.481,13.7,0.765,0.242,0.155,0.102,0.267,0.235,0.515,0.695,0.458,0.403,0.428,0.37,0.479,0.053,308,0.819,0.327,0.435,11,1,2011
Milwaukee Bucks,82,19830,0.43,12.8,0.784,0.268,0.165,0.123,0.227,0.216,0.454,0.585,0.372,0.381,0.4,0.342,0.48,0.026,160,0.882,0.299,0.395,11,0,2011
Minnesota Timberwolves,82,19780,0.441,12.7,0.777,0.241,0.233,0.099,0.204,0.223,0.459,0.611,0.387,0.391,0.395,0.376,0.476,0.034,207,0.779,0.204,0.458,27,1,2011
New Jersey Nets,82,20005,0.44,12.8,0.799,0.236,0.213,0.123,0.227,0.201,0.464,0.606,0.422,0.384,0.398,0.343,0.55,0.052,307,0.808,0.272,0.353,18,1,2011
New Orleans Hornets,82,19830,0.459,12.8,0.808,0.223,0.213,0.136,0.237,0.192,0.482,0.657,0.401,0.402,0.436,0.36,0.523,0.036,210,0.863,0.322,0.37,13,2,2011
New York Knicks,82,19780,0.457,13.5,0.697,0.265,0.166,0.086,0.179,0.303,0.496,0.665,0.377,0.382,0.411,0.368,0.475,0.054,349,0.821,0.27,0.424,12,0,2011
Oklahoma City Thunder,82,20005,0.464,12.5,0.788,0.284,0.159,0.126,0.218,0.212,0.495,0.686,0.354,0.404,0.403,0.347,0.488,0.072,443,0.848,0.187,0.354,11,0,2011
Orlando Magic,82,19830,0.461,14.1,0.672,0.253,0.158,0.096,0.164,0.328,0.507,0.671,0.405,0.411,0.411,0.366,0.454,0.065,388,0.835,0.243,0.367,18,1,2011
Philadelphia 76ers,82,19930,0.461,12.4,0.816,0.258,0.175,0.17,0.213,0.184,0.485,0.672,0.379,0.412,0.405,0.355,0.557,0.051,323,0.831,0.244,0.403,15,0,2011
Phoenix Suns,82,20005,0.47,13.4,0.729,0.253,0.167,0.116,0.193,0.271,0.505,0.701,0.385,0.429,0.396,0.377,0.531,0.049,299,0.869,0.263,0.41,15,0,2011
Portland Trail Blazers,82,19805,0.447,12.6,0.772,0.283,0.168,0.115,0.206,0.228,0.477,0.645,0.387,0.378,0.376,0.345,0.515,0.046,270,0.934,0.317,0.391,23,0,2011
Sacramento Kings,82,19855,0.449,12,0.817,0.265,0.219,0.112,0.221,0.183,0.475,0.68,0.36,0.401,0.38,0.335,0.48,0.047,299,0.879,0.286,0.403,24,1,2011
San Antonio Spurs,82,19780,0.475,12.7,0.739,0.264,0.201,0.106,0.167,0.261,0.503,0.662,0.43,0.407,0.4,0.397,0.507,0.029,166,0.858,0.367,0.421,7,0,2011
Toronto Raptors,82,19780,0.465,11.8,0.838,0.325,0.157,0.112,0.245,0.162,0.494,0.627,0.414,0.439,0.394,0.316,0.534,0.053,325,0.872,0.234,0.337,12,0,2011
Utah Jazz,82,19880,0.465,12.1,0.809,0.296,0.181,0.111,0.221,0.191,0.493,0.652,0.398,0.396,0.406,0.346,0.588,0.055,330,0.862,0.184,0.368,16,1,2011
Washington Wizards,82,19930,0.443,12.2,0.828,0.281,0.171,0.129,0.247,0.172,0.465,0.648,0.353,0.382,0.38,0.332,0.468,0.06,389,0.89,0.292,0.348,11,0,2011
All Teams,82,19836,0.459,12.6,0.778,0.276,0.178,0.11,0.214,0.222,0.487,0.65,0.392,0.398,0.403,0.358,0.518,0.049,297,0.86,0.27,0.394,15.7,0.5,2011
Atlanta Hawks,66,16165,0.454,13.2,0.751,0.277,0.153,0.074,0.247,0.249,0.482,0.63,0.43,0.397,0.373,0.37,0.532,0.048,233,0.915,0.34,0.398,8,1,2012
Boston Celtics,66,15940,0.46,12.9,0.806,0.28,0.116,0.145,0.266,0.194,0.483,0.637,0.333,0.418,0.42,0.367,0.62,0.049,223,0.909,0.309,0.439,4,0,2012
Charlotte Bobcats,66,15890,0.414,12.8,0.831,0.29,0.125,0.108,0.309,0.169,0.439,0.592,0.322,0.377,0.363,0.295,0.584,0.049,229,0.757,0.158,0.34,12,0,2012
Chicago Bulls,66,15940,0.452,12.6,0.795,0.297,0.142,0.116,0.241,0.205,0.471,0.605,0.415,0.405,0.372,0.375,0.581,0.046,231,0.807,0.261,0.375,13,0,2012
Cleveland Cavaliers,66,15965,0.422,11.7,0.763,0.326,0.188,0.081,0.167,0.238,0.446,0.599,0.322,0.326,0.343,0.346,0.516,0.044,211,0.836,0.236,0.359,6,0,2012
Dallas Mavericks,66,16065,0.443,13.4,0.729,0.24,0.167,0.148,0.175,0.271,0.482,0.658,0.355,0.409,0.422,0.339,0.509,0.051,248,0.829,0.228,0.35,10,0,2012
Denver Nuggets,66,16040,0.476,11,0.757,0.404,0.151,0.077,0.125,0.243,0.522,0.645,0.372,0.392,0.386,0.332,0.553,0.078,386,0.92,0.313,0.361,22,1,2012
Detroit Pistons,66,15965,0.438,11.4,0.825,0.329,0.172,0.107,0.216,0.175,0.457,0.589,0.36,0.375,0.376,0.346,0.488,0.035,145,0.849,0.239,0.356,14,0,2012
Golden State Warriors,66,15915,0.457,13.4,0.752,0.259,0.166,0.091,0.236,0.248,0.48,0.647,0.343,0.428,0.413,0.388,0.516,0.049,241,0.87,0.274,0.457,13,1,2012
Houston Rockets,66,16065,0.449,12.7,0.76,0.25,0.202,0.12,0.189,0.24,0.477,0.655,0.374,0.398,0.403,0.359,0.504,0.036,173,0.816,0.287,0.435,9,0,2012
Indiana Pacers,66,15990,0.438,11.9,0.802,0.269,0.219,0.127,0.187,0.198,0.455,0.584,0.404,0.382,0.379,0.368,0.455,0.038,178,0.855,0.277,0.363,12,1,2012
Los Angeles Clippers,66,15965,0.455,13.7,0.731,0.256,0.159,0.083,0.234,0.269,0.49,0.663,0.408,0.403,0.389,0.357,0.5,0.088,407,0.823,0.288,0.357,10,0,2012
Los Angeles Lakers,66,16065,0.457,12.5,0.791,0.258,0.212,0.117,0.205,0.209,0.491,0.671,0.4,0.397,0.414,0.326,0.575,0.062,307,0.82,0.283,0.346,9,1,2012
Memphis Grizzlies,66,15940,0.447,11.7,0.843,0.298,0.192,0.134,0.219,0.157,0.47,0.628,0.386,0.384,0.381,0.326,0.491,0.049,231,0.852,0.226,0.37,20,1,2012
Miami Heat,66,16040,0.469,12.1,0.802,0.309,0.157,0.119,0.218,0.198,0.496,0.65,0.397,0.442,0.381,0.359,0.485,0.066,310,0.841,0.33,0.365,5,1,2012
Milwaukee Bucks,66,15865,0.443,12.4,0.776,0.308,0.146,0.12,0.202,0.224,0.471,0.61,0.354,0.393,0.39,0.345,0.578,0.03,154,0.817,0.242,0.366,8,0,2012
Minnesota Timberwolves,66,15940,0.433,12.7,0.738,0.31,0.157,0.086,0.186,0.262,0.469,0.62,0.342,0.335,0.388,0.332,0.474,0.041,206,0.841,0.256,0.36,9,0,2012
New Jersey Nets,66,15890,0.425,13.8,0.722,0.255,0.134,0.126,0.207,0.278,0.457,0.57,0.414,0.396,0.384,0.342,0.519,0.042,194,0.789,0.267,0.347,8,1,2012
New Orleans Hornets,66,15940,0.451,11.8,0.848,0.267,0.207,0.149,0.225,0.152,0.472,0.625,0.39,0.408,0.407,0.333,0.564,0.039,190,0.834,0.266,0.372,4,0,2012
New York Knicks,66,15940,0.443,13,0.712,0.316,0.13,0.085,0.181,0.288,0.487,0.648,0.317,0.371,0.381,0.336,0.477,0.075,364,0.865,0.245,0.35,12,0,2012
Oklahoma City Thunder,66,15990,0.471,12.6,0.748,0.294,0.148,0.13,0.175,0.252,0.509,0.671,0.378,0.389,0.436,0.358,0.419,0.078,377,0.828,0.183,0.411,9,0,2012
Orlando Magic,66,15965,0.441,13.9,0.654,0.286,0.153,0.063,0.152,0.346,0.475,0.636,0.371,0.33,0.338,0.375,0.474,0.05,232,0.836,0.216,0.42,8,0,2012
Philadelphia 76ers,66,15915,0.448,12.5,0.825,0.232,0.182,0.187,0.225,0.175,0.466,0.642,0.395,0.405,0.393,0.362,0.553,0.043,219,0.799,0.208,0.325,5,0,2012
Phoenix Suns,66,15840,0.458,13.3,0.762,0.253,0.165,0.118,0.226,0.238,0.494,0.678,0.388,0.384,0.424,0.343,0.549,0.037,191,0.811,0.238,0.354,11,0,2012
Portland Trail Blazers,66,15965,0.443,13,0.745,0.294,0.139,0.097,0.216,0.255,0.477,0.606,0.391,0.37,0.404,0.346,0.483,0.035,175,0.879,0.306,0.397,15,0,2012
Sacramento Kings,66,15915,0.436,11.8,0.772,0.306,0.219,0.076,0.172,0.228,0.471,0.64,0.362,0.353,0.362,0.316,0.456,0.043,219,0.783,0.268,0.341,12,1,2012
San Antonio Spurs,66,15940,0.478,12.4,0.743,0.278,0.203,0.099,0.164,0.257,0.507,0.677,0.395,0.429,0.407,0.393,0.508,0.027,129,0.873,0.315,0.415,6,0,2012
Toronto Raptors,66,15965,0.44,13.1,0.791,0.271,0.151,0.106,0.263,0.209,0.467,0.633,0.402,0.383,0.366,0.34,0.562,0.048,218,0.858,0.241,0.34,12,0,2012
Utah Jazz,66,16165,0.456,11.2,0.847,0.287,0.238,0.118,0.204,0.153,0.48,0.672,0.42,0.333,0.365,0.323,0.529,0.064,319,0.908,0.198,0.329,12,0,2012
Washington Wizards,66,15865,0.441,12.2,0.804,0.299,0.167,0.109,0.227,0.196,0.47,0.661,0.339,0.347,0.376,0.32,0.467,0.072,384,0.858,0.294,0.389,6,1,2012
All Teams,66,15966,0.448,12.5,0.774,0.287,0.169,0.11,0.208,0.226,0.477,0.634,0.378,0.388,0.388,0.349,0.518,0.05,244,0.843,0.261,0.376,10.1,0.3,2012
Atlanta Hawks,82,19855,0.464,13.4,0.714,0.281,0.152,0.073,0.208,0.286,0.501,0.678,0.382,0.387,0.389,0.371,0.585,0.052,323,0.874,0.264,0.426,12,0,2013
Boston Celtics,81,19840,0.465,12.9,0.785,0.287,0.13,0.128,0.239,0.215,0.494,0.623,0.357,0.446,0.439,0.358,0.555,0.043,258,0.914,0.339,0.399,22,0,2013
Brooklyn Nets,82,19855,0.45,12.6,0.731,0.272,0.203,0.102,0.154,0.269,0.484,0.623,0.405,0.397,0.4,0.357,0.484,0.041,249,0.871,0.349,0.395,12,0,2013
Charlotte Bobcats,82,19805,0.425,12.2,0.79,0.319,0.147,0.111,0.212,0.21,0.448,0.577,0.323,0.373,0.38,0.335,0.507,0.051,298,0.838,0.208,0.402,15,0,2013
Chicago Bulls,82,19830,0.437,12.2,0.811,0.306,0.139,0.14,0.226,0.189,0.456,0.615,0.333,0.376,0.367,0.353,0.61,0.039,240,0.839,0.229,0.359,11,0,2013
Cleveland Cavaliers,82,19730,0.434,12.4,0.771,0.294,0.174,0.116,0.188,0.229,0.46,0.584,0.352,0.385,0.411,0.346,0.509,0.057,338,0.821,0.211,0.338,12,1,2013
Dallas Mavericks,82,19980,0.462,13,0.764,0.242,0.179,0.16,0.182,0.236,0.489,0.627,0.432,0.412,0.431,0.372,0.538,0.031,196,0.86,0.232,0.363,18,0,2013
Denver Nuggets,82,19905,0.478,10.4,0.783,0.415,0.172,0.08,0.115,0.217,0.516,0.655,0.368,0.347,0.352,0.343,0.551,0.1,642,0.862,0.345,0.351,21,0,2013
Detroit Pistons,82,19805,0.449,11.1,0.783,0.37,0.172,0.072,0.169,0.217,0.474,0.609,0.347,0.34,0.366,0.356,0.514,0.054,320,0.926,0.267,0.356,16,0,2013
Golden State Warriors,82,19805,0.458,13.5,0.761,0.242,0.173,0.118,0.229,0.239,0.475,0.65,0.361,0.391,0.418,0.403,0.542,0.045,284,0.769,0.226,0.461,21,1,2013
Houston Rockets,82,19780,0.461,12.8,0.651,0.341,0.156,0.048,0.106,0.349,0.511,0.653,0.35,0.338,0.372,0.366,0.52,0.066,415,0.841,0.29,0.392,11,2,2013
Indiana Pacers,81,19590,0.436,12.7,0.755,0.271,0.19,0.116,0.178,0.245,0.465,0.612,0.399,0.375,0.371,0.347,0.513,0.048,283,0.847,0.251,0.364,23,0,2013
Los Angeles Clippers,82,19730,0.478,13,0.735,0.281,0.17,0.089,0.195,0.265,0.522,0.677,0.46,0.432,0.392,0.358,0.556,0.092,557,0.877,0.334,0.381,9,0,2013
Los Angeles Lakers,82,19755,0.458,13.3,0.697,0.281,0.17,0.089,0.158,0.303,0.503,0.649,0.396,0.424,0.402,0.355,0.518,0.057,356,0.859,0.257,0.375,19,0,2013
Memphis Grizzlies,82,19805,0.444,11.5,0.834,0.304,0.196,0.125,0.21,0.166,0.463,0.583,0.383,0.405,0.4,0.345,0.533,0.044,255,0.885,0.287,0.396,12,0,2013
Miami Heat,82,19880,0.496,13.2,0.715,0.297,0.127,0.099,0.192,0.285,0.536,0.704,0.401,0.387,0.441,0.396,0.522,0.066,392,0.866,0.384,0.433,6,0,2013
Milwaukee Bucks,82,19830,0.435,12.2,0.768,0.32,0.143,0.122,0.183,0.232,0.457,0.589,0.331,0.391,0.369,0.36,0.548,0.04,269,0.817,0.234,0.384,9,0,2013
Minnesota Timberwolves,82,19730,0.439,12.3,0.78,0.331,0.139,0.083,0.227,0.22,0.477,0.613,0.328,0.415,0.393,0.305,0.592,0.051,313,0.798,0.226,0.345,10,0,2013
New Orleans Hornets,82,19780,0.448,12.1,0.776,0.298,0.208,0.095,0.175,0.224,0.473,0.614,0.379,0.371,0.402,0.363,0.521,0.056,329,0.858,0.176,0.382,16,0,2013
New York Knicks,82,19730,0.448,14.6,0.646,0.28,0.096,0.083,0.188,0.354,0.487,0.613,0.372,0.38,0.407,0.376,0.398,0.049,302,0.833,0.236,0.377,30,2,2013
Oklahoma City Thunder,82,19830,0.481,12.6,0.756,0.294,0.146,0.13,0.186,0.244,0.514,0.677,0.389,0.437,0.409,0.377,0.492,0.071,418,0.851,0.252,0.44,13,1,2013
Orlando Magic,82,19780,0.448,12.6,0.777,0.289,0.166,0.116,0.206,0.223,0.482,0.622,0.425,0.394,0.382,0.329,0.563,0.04,246,0.82,0.228,0.371,6,0,2013
Philadelphia 76ers,82,19755,0.444,12.7,0.791,0.263,0.153,0.147,0.228,0.209,0.466,0.62,0.381,0.409,0.381,0.36,0.56,0.036,236,0.855,0.3,0.381,11,0,2013
Phoenix Suns,82,19805,0.443,12.7,0.79,0.281,0.158,0.113,0.237,0.21,0.473,0.646,0.345,0.38,0.396,0.33,0.564,0.036,226,0.831,0.276,0.366,12,0,2013
Portland Trail Blazers,82,19855,0.448,13.6,0.716,0.284,0.126,0.095,0.211,0.284,0.486,0.62,0.381,0.426,0.394,0.353,0.529,0.059,359,0.816,0.239,0.397,13,0,2013
Sacramento Kings,82,19830,0.447,12.2,0.757,0.291,0.211,0.082,0.172,0.243,0.474,0.63,0.392,0.385,0.354,0.363,0.491,0.04,247,0.807,0.265,0.384,15,1,2013
San Antonio Spurs,82,19880,0.481,12.5,0.736,0.298,0.178,0.096,0.163,0.264,0.519,0.663,0.411,0.433,0.423,0.376,0.572,0.034,207,0.905,0.35,0.412,12,0,2013
Toronto Raptors,82,19980,0.446,13.5,0.751,0.239,0.169,0.123,0.22,0.249,0.48,0.655,0.427,0.404,0.372,0.343,0.541,0.057,353,0.809,0.21,0.355,9,0,2013
Utah Jazz,82,19880,0.454,12.5,0.794,0.274,0.192,0.105,0.224,0.206,0.477,0.662,0.377,0.375,0.383,0.366,0.554,0.052,318,0.893,0.219,0.378,16,0,2013
Washington Wizards,82,19855,0.435,13.1,0.777,0.238,0.177,0.145,0.216,0.223,0.455,0.623,0.393,0.371,0.377,0.365,0.543,0.047,296,0.901,0.33,0.457,8,0,2013
All Teams,82,19817,0.453,12.6,0.757,0.293,0.164,0.107,0.193,0.243,0.483,0.631,0.381,0.395,0.393,0.359,0.535,0.052,318,0.851,0.268,0.39,14,0.3,2013
Atlanta Hawks,82,19830,0.458,13.4,0.684,0.263,0.174,0.102,0.145,0.316,0.502,0.643,0.409,0.419,0.413,0.363,0.598,0.026,154,0.87,0.268,0.386,13,1,2014
Boston Celtics,82,19730,0.435,13.3,0.749,0.273,0.148,0.109,0.219,0.251,0.47,0.607,0.348,0.424,0.403,0.333,0.51,0.039,239,0.852,0.242,0.39,15,0,2014
Brooklyn Nets,82,19880,0.459,13.6,0.699,0.256,0.171,0.112,0.16,0.301,0.497,0.642,0.413,0.427,0.405,0.369,0.491,0.052,309,0.88,0.243,0.391,20,0,2014
Charlotte Bobcats,82,19905,0.442,12.6,0.781,0.29,0.151,0.122,0.218,0.219,0.468,0.607,0.414,0.409,0.352,0.351,0.539,0.04,253,0.874,0.209,0.371,17,0,2014
Chicago Bulls,82,19930,0.432,12.7,0.778,0.297,0.148,0.112,0.222,0.222,0.456,0.597,0.334,0.373,0.392,0.348,0.611,0.035,210,0.854,0.22,0.383,20,3,2014
Cleveland Cavaliers,82,19930,0.437,12.8,0.764,0.269,0.17,0.128,0.197,0.236,0.461,0.583,0.388,0.394,0.402,0.356,0.513,0.045,278,0.82,0.252,0.373,19,0,2014
Dallas Mavericks,82,19830,0.474,13.2,0.726,0.262,0.156,0.135,0.173,0.274,0.508,0.655,0.418,0.426,0.428,0.384,0.52,0.047,308,0.861,0.199,0.412,15,0,2014
Denver Nuggets,82,19755,0.447,12.5,0.722,0.309,0.182,0.08,0.15,0.278,0.481,0.634,0.373,0.351,0.366,0.358,0.518,0.066,425,0.813,0.24,0.416,20,0,2014
Detroit Pistons,82,19780,0.447,11.1,0.778,0.356,0.197,0.068,0.157,0.222,0.483,0.64,0.344,0.369,0.348,0.321,0.493,0.052,342,0.779,0.251,0.396,24,0,2014
Golden State Warriors,82,19830,0.462,13.4,0.709,0.264,0.176,0.1,0.169,0.291,0.496,0.654,0.394,0.396,0.412,0.38,0.54,0.055,363,0.753,0.24,0.413,21,0,2014
Houston Rockets,82,19830,0.472,11.9,0.67,0.341,0.214,0.049,0.065,0.33,0.529,0.663,0.405,0.391,0.343,0.358,0.472,0.078,481,0.834,0.23,0.389,11,1,2014
Indiana Pacers,82,19780,0.449,13,0.765,0.249,0.188,0.124,0.205,0.235,0.477,0.611,0.418,0.382,0.425,0.357,0.498,0.03,180,0.831,0.246,0.406,14,0,2014
Los Angeles Clippers,82,19755,0.474,13.8,0.709,0.267,0.137,0.097,0.208,0.291,0.525,0.707,0.408,0.422,0.415,0.352,0.568,0.081,496,0.847,0.286,0.401,11,1,2014
Los Angeles Lakers,82,19705,0.45,13.5,0.709,0.247,0.177,0.116,0.169,0.291,0.478,0.64,0.407,0.392,0.375,0.381,0.569,0.045,283,0.854,0.239,0.405,6,0,2014
Memphis Grizzlies,82,19805,0.464,11.3,0.829,0.301,0.223,0.115,0.191,0.171,0.487,0.631,0.411,0.42,0.391,0.353,0.526,0.036,222,0.894,0.28,0.368,17,1,2014
Miami Heat,82,19880,0.501,12.8,0.708,0.33,0.127,0.084,0.168,0.292,0.558,0.697,0.467,0.433,0.413,0.364,0.509,0.064,383,0.88,0.372,0.429,5,1,2014
